	–¼‘O	˜_•¶–¼	G–¼AŠª†Aƒy[ƒW‚Ì”ÍˆÍ	o”Å”N	DOI	PMID	
114	X ém	Expression of genes involved in drug metabolism differs between perfusable 3D liver tissue and conventional 2D]cultured hepatocellular carcinoma cells	"FEBS Open Bio
. 2020 Oct;10(10):1985-2002."	2020	doi: 10.1002/2211-5463.12948.	32794647	
115	RŒû ‰ë–ç	Role of BgaA as a Pneumococcal Virulence Factor Elucidated by Molecular Evolutionary Analysis.	"Front Microbiol
. 2020 Sep 24;11:582437."	2020	doi: 10.3389/fmicb.2020.582437.	33072054	
116	‰Á“¡ ‘å–¾	"Lumi-Map, a Real-Time Luciferase Bioluminescence Screen of Mutants Combined with MutMap, Reveals Arabidopsis Genes Involved in PAMP-Triggered Immunity"	"Mol Plant Microbe Interact
. 2020 Dec;33(12):1366-1380. "	2020	doi: 10.1094/MPMI-05-20-0118-TA.	32876529	
117	’†ì ‘	Comprehensive genomic analysis reveals dynamic evolution of endogenous retroviruses that code for retroviral-like protein domains	"Mob DNA
. 2020 Sep 17;11:29."	2020	doi: 10.1186/s13100-020-00224-w	32963593	
118	‹g“c ^–¾	Genomic and Transcriptomic Analyses of Bioluminescence Genes in the Enope Squid Watasenia scintillans	"Mar Biotechnol (NY)
. 2020 Dec;22(6):760-771."	2020	doi: 10.1007/s10126-020-10001-8	33098466	
119	’†R ÈŒå	Loss of Fbxw7 Impairs Development of and Induces Heterogeneous Tumor Formation in the Mouse Mammary Gland	"Cancer Res
. 2020 Dec 15;80(24):5515-5530. "	2020	doi: 10.1158/0008-5472.CAN-20-0271	33234509	
120	ŠâØ ~ˆê	MeCP2 Levels Regulate the 3D Structure of Heterochromatic Foci in Mouse Neurons	"J Neurosci
. 2020 Nov 4;40(45):8746-8766."	2020	doi: 10.1523/JNEUROSCI.1281-19.2020	33046553	
121	ˆÀàV ”¹l	Theoretical characterisation of strand cross-correlation in ChIP-seq	"BMC Bioinformatics
. 2020 Sep 22;21(1):417. "	2020	doi: 10.1186/s12859-020-03729-6	32962634	
122	à_“c –ƒ—Fq	"A Reference Genome from the Symbiotic Hydrozoan, Hydra viridissima"	"G3 (Bethesda)
. 2020 Nov 5;10(11):3883-3895. "	2020	doi: 10.1534/g3.120.401411	32900905	
123	âR ‰pr	"Induction of sexual reproduction reveals the presence of heterothallic Spirogyra strains (Zygnematophyceae, Streptophyta)"	Phycological Research 2020; 68: 263?268 	2020	doi: 10.1111/pre.12436	–³‚µ	PDF‚ ‚è@https://onlinelibrary.wiley.com/doi/epdf/10.1111/pre.12436
124	‹“‡ Kˆê˜Y	Postharvest Properties of Ultra-Late Maturing Peach Cultivars and Their Attributions to Melting Flesh (M) Locus: Re-evaluation of M Locus in Association With Flesh Texture	"Front Plant Sci
. 2020 Nov 26;11:554158. "	2020	doi: 10.3389/fpls.2020.554158	33324428	
125	ç“ª N•F	Oral RNAi of diap1 results in rapid reduction of damage to potatoes in Henosepilachna vigintioctopunctata	"Journal of Pest Science volume 94, pages505?515 (2021)"	2020	doi: 10.1007/s10340-020-01276-w	–³‚µ	"<= published 2020 
PDF‚ ‚è@https://link.springer.com/content/pdf/10.1007/s10340-020-01276-w.pdf"
126	Îì ²l	Functional shell matrix proteins tentatively identified by asymmetric snail shell morphology	"Sci Rep
. 2020 Jun 17;10(1):9768. "	2020	doi: 10.1038/s41598-020-66021-w	32555253	
127	ŒF’J —Y‘¾˜Y	Zinc Finger Protein St18 Protects against Septic Death by Inhibiting VEGF-A from Macrophages	"Cell Rep
. 2020 Jul 14;32(2):107906. "	2020	doi: 10.1016/j.celrep.2020.107906	32668247	
128	“¿“c ’¼q	Quantitative Analysis of Spatial Distributions of All tRNA Genes in Budding Yeast	"Biophys J
. 2020 May 5;118(9):2181-2192. "	2020	doi: 10.1016/j.bpj.2019.12.029	31951810	
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
